0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,10,11,12,13,0,0,0,0,0,0,0,0,0,0,0,0,5,14,15,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,18,19,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,15,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,23,24,25,26,27,28,29,30,22,22,22,22,22,22,22,22,22,31,32,32,33,34,22,22,35,22,22,22,22,22,22,22,22,22,22,36,30,22,22,22,22,22,22,22,22,22,22,22,37,38,38,34,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,37,39,32,32,33,34,22,22,22,22,22,22,36,30,22,22,29,30,22,22,22,22,22,22,22,22,22,31,32,32,33,34,22,22,35,22,22,22,22,22,22,22,22,22,22,36,30,22,22,22,22,22,22,22,22,22,22,22,37,38,38,34,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,36,30,22,22,22,22,22,22,22,22,22,36,40,22,22,22,22,22,21,21,22,22,22,22,22,22,22,36,40,22,22,22,22,22,22,22,22,22,22,22,22,22
41,41,42,43,44,45,46,47,14,16,48,49,50,48,41,41,51,52,53,41,54,55,56,41,41,57,58,59,41,41,41,41,41,41,41,41,57,14,16,48,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,51,52,53,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,60,55,55,56,41,41,41,41,41,51,61,62,63,48,49,14,16,48,49,50,48,41,41,41,41,41,41,54,55,56,41,41,57,58,59,41,41,41,41,41,41,41,41,57,14,16,48,41,41,41,41,41,41,41,41,41,41,41,41,41,41,51,52,53,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,57,64,14,16,48,41,41,49,50,59,41,41,57,32,65,41,41,41,41,41,21,21,53,41,41,41,41,49,50,32,16,59,41,41,41,41,41,41,41,41,41,41,41,41
66,67,68,69,70,71,72,73,32,74,75,14,15,16,76,77,78,79,80,81,81,81,81,81,81,82,32,16,83,81,81,81,81,81,81,84,85,18,19,16,76,81,86,87,83,81,81,81,81,77,88,81,81,81,81,81,81,77,78,79,80,81,81,81,81,81,81,81,81,81,86,87,76,81,86,76,81,81,81,81,81,81,81,81,81,81,81,81,81,77,88,77,88,81,81,81,81,77,78,79,89,32,16,90,91,32,75,14,15,16,76,81,81,81,81,81,81,81,81,81,81,82,32,16,83,81,81,77,88,81,81,86,14,18,19,16,76,81,86,87,83,77,88,81,81,81,81,81,81,77,78,79,80,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,86,14,32,18,19,32,76,86,14,32,16,83,84,92,93,94,83,81,81,81,77,21,21,80,81,81,77,95,14,32,32,32,16,83,81,81,81,81,81,81,81,81,81,81,81
96,97,98,99,25,26,100,101,102,103,14,32,32,32,104,105,106,107,106,108,109,109,109,110,111,112,32,32,104,109,109,109,109,109,109,113,106,114,32,115,116,117,118,119,16,120,109,110,121,122,106,123,111,124,120,109,109,125,106,107,106,108,109,109,109,109,109,109,109,126,14,15,16,127,14,16,128,129,109,109,109,110,121,108,109,109,109,110,121,122,106,122,106,108,109,109,109,105,106,107,106,114,32,130,106,131,118,114,32,32,104,109,109,109,109,109,109,109,109,109,132,14,32,32,104,109,109,105,106,123,121,133,134,131,134,131,135,127,14,136,116,137,106,123,121,108,109,109,132,138,106,107,106,139,120,109,109,109,109,109,109,109,109,109,109,109,109,109,109,140,32,32,32,115,134,141,14,32,15,115,116,142,106,143,106,144,120,109,109,105,21,21,106,108,109,145,106,131,134,119,32,33,146,109,109,109,109,109,109,109,109,109,109,109
147,43,148,44,45,44,45,148,46,149,32,32,32,33,150,151,152,153,152,154,155,156,157,158,21,159,32,33,150,155,155,155,155,155,155,160,152,159,32,161,152,162,152,159,32,163,155,151,152,164,152,165,152,159,16,166,167,168,152,153,152,154,155,155,155,155,155,155,155,169,39,32,33,170,32,32,32,16,171,155,167,158,152,172,155,155,155,151,152,164,152,164,152,154,155,155,155,151,152,153,152,159,32,161,152,162,152,159,32,33,150,155,155,155,155,155,155,156,157,173,14,32,32,33,150,155,155,151,152,164,174,175,152,162,152,162,176,170,32,161,152,162,152,164,152,154,155,167,14,177,152,153,152,159,16,171,155,155,155,155,155,155,155,155,155,155,155,155,167,14,32,32,32,161,152,159,32,32,32,161,152,162,152,162,152,178,179,180,155,151,21,21,152,154,155,181,152,162,152,159,32,16,171,156,166,182,183,184,185,155,155,155,155,155
186,69,187,70,71,70,71,187,72,188,32,33,189,190,191,192,193,194,193,195,196,197,198,21,21,199,200,201,202,191,191,191,191,191,21,203,193,199,200,204,193,194,193,199,200,205,206,207,193,194,193,194,193,199,200,208,209,210,193,194,193,211,212,213,191,191,191,191,214,215,216,32,32,32,217,218,32,32,16,219,220,221,193,222,223,224,225,226,193,194,193,194,193,211,212,213,225,227,193,194,193,199,200,228,229,194,193,199,200,230,212,213,191,191,191,231,232,200,233,234,235,32,217,218,202,191,225,227,193,194,236,237,193,194,193,194,238,197,239,204,193,194,193,194,193,211,212,240,239,204,193,194,193,241,242,201,243,191,191,191,244,212,245,191,191,191,191,231,14,32,32,32,239,204,193,199,200,197,239,204,193,194,193,194,193,246,247,248,249,227,21,21,193,211,212,227,193,194,193,199,200,250,251,216,252,253,11,12,254,212,213,191,191,191
